"labelled_examples","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX"
"500","34904","34626","35182","0.3354545533657074","0.3354545533657074","0.3354545533657074","0.7049999833106995","0.7049999833106995","0.7049999833106995","0.5022727251052856","0.5022727251052856","0.5022727251052856","34904","34626","35182","0.3354545533657074","0.3354545533657074","0.3354545533657074","0.7049999833106995","0.7049999833106995","0.7049999833106995","0.5022727251052856","0.5022727251052856","0.5022727251052856","34904","34626","35182","0.3354545533657074","0.3354545533657074","0.3354545533657074","0.7049999833106995","0.7049999833106995","0.7049999833106995","0.5022727251052856","0.5022727251052856","0.5022727251052856","34904","34626","35182","0.3354545533657074","0.3354545533657074","0.3354545533657074","0.7049999833106995","0.7049999833106995","0.7049999833106995","0.5022727251052856","0.5022727251052856","0.5022727251052856"
"1000","82291","82013","82569","0.35818180441856384","0.35818180441856384","0.35818180441856384","0.8381817936897278","0.8381817936897278","0.8381817936897278","0.6086363792419434","0.6086363792419434","0.6086363792419434","56843","56565","57121","0.32499998807907104","0.32499998807907104","0.32499998807907104","0.8259090781211853","0.8259090781211853","0.8259090781211853","0.5990909337997437","0.5990909337997437","0.5990909337997437","55859","55581","56137","0.330454558134079","0.330454558134079","0.330454558134079","0.8122727274894714","0.8122727274894714","0.8122727274894714","0.578181803226471","0.578181803226471","0.578181803226471","60779","60501","61057","0.3531818091869354","0.3531818091869354","0.3531818091869354","0.8059090971946716","0.8059090971946716","0.8059090971946716","0.6131818294525146","0.6131818294525146","0.6131818294525146"
"1500","126133","125855","126411","0.3545454442501068","0.3545454442501068","0.3545454442501068","0.8600000143051147","0.8600000143051147","0.8600000143051147","0.6222727298736572","0.6222727298736572","0.6222727298736572","81360","81082","81638","0.35681816935539246","0.35681816935539246","0.35681816935539246","0.8245454430580139","0.8245454430580139","0.8245454430580139","0.621363639831543","0.621363639831543","0.621363639831543","82500","82222","82778","0.34909090399742126","0.34909090399742126","0.34909090399742126","0.8636363744735718","0.8636363744735718","0.8636363744735718","0.585454523563385","0.585454523563385","0.585454523563385","83172","82894","83450","0.360909104347229","0.360909104347229","0.360909104347229","0.8418181538581848","0.8418181538581848","0.8418181538581848","0.642727255821228","0.642727255821228","0.642727255821228"
"2000","199973","199695","200251","0.3736363649368286","0.3736363649368286","0.3736363649368286","0.8372727036476135","0.8372727036476135","0.8372727036476135","0.6672727465629578","0.6672727465629578","0.6672727465629578","101747","101469","102025","0.34863635897636414","0.34863635897636414","0.34863635897636414","0.8527272939682007","0.8527272939682007","0.8527272939682007","0.6559090614318848","0.6559090614318848","0.6559090614318848","104027","103749","104305","0.3672727346420288","0.3672727346420288","0.3672727346420288","0.8809090852737427","0.8809090852737427","0.8809090852737427","0.628636360168457","0.628636360168457","0.628636360168457","106979","106701","107257","0.3577272593975067","0.3577272593975067","0.3577272593975067","0.8409090638160706","0.8409090638160706","0.8409090638160706","0.6454545259475708","0.6454545259475708","0.6454545259475708"
"2500","249938","249660","250216","0.37454545497894287","0.37454545497894287","0.37454545497894287","0.8531818389892578","0.8531818389892578","0.8531818389892578","0.6677272915840149","0.6677272915840149","0.6677272915840149","125474","125196","125752","0.35499998927116394","0.35499998927116394","0.35499998927116394","0.8668181896209717","0.8668181896209717","0.8668181896209717","0.6568182110786438","0.6568182110786438","0.6568182110786438","125709","125431","125987","0.360909104347229","0.360909104347229","0.360909104347229","0.8845454454421997","0.8845454454421997","0.8845454454421997","0.6440908908843994","0.6440908908843994","0.6440908908843994","200273","199995","200551","0.3809090852737427","0.3809090852737427","0.3809090852737427","0.8636363744735718","0.8636363744735718","0.8636363744735718","0.664545476436615","0.664545476436615","0.664545476436615"
"3000","309753","309475","310031","0.3731818199157715","0.3731818199157715","0.3731818199157715","0.8731818199157715","0.8731818199157715","0.8731818199157715","0.6886363625526428","0.6886363625526428","0.6886363625526428","150313","150035","150591","0.36636364459991455","0.36636364459991455","0.36636364459991455","0.8740909099578857","0.8740909099578857","0.8740909099578857","0.6740909218788147","0.6740909218788147","0.6740909218788147","170224","169946","170502","0.3781818151473999","0.3781818151473999","0.3781818151473999","0.878636360168457","0.878636360168457","0.878636360168457","0.6459090709686279","0.6459090709686279","0.6459090709686279","230048","229770","230326","0.37590909004211426","0.37590909004211426","0.37590909004211426","0.8736363649368286","0.8736363649368286","0.8736363649368286","0.6763636469841003","0.6763636469841003","0.6763636469841003"
"3500","396425","396147","396703","0.36454546451568604","0.36454546451568604","0.36454546451568604","0.871363639831543","0.871363639831543","0.871363639831543","0.6795454621315002","0.6795454621315002","0.6795454621315002","176926","176648","177204","0.37090909481048584","0.37090909481048584","0.37090909481048584","0.8795454502105713","0.8795454502105713","0.8795454502105713","0.6668182015419006","0.6668182015419006","0.6668182015419006","268334","268056","268612","0.36318182945251465","0.36318182945251465","0.36318182945251465","0.8840909004211426","0.8840909004211426","0.8840909004211426","0.6695454716682434","0.6695454716682434","0.6695454716682434","277138","276860","277416","0.3795454502105713","0.3795454502105713","0.3795454502105713","0.8590909242630005","0.8590909242630005","0.8590909242630005","0.6581818461418152","0.6581818461418152","0.6581818461418152"
"4000","457928","457650","458206","0.3668181896209717","0.3668181896209717","0.3668181896209717","0.8627272844314575","0.8627272844314575","0.8627272844314575","0.6768181920051575","0.6768181920051575","0.6768181920051575","219986","219708","220264","0.3577272593975067","0.3577272593975067","0.3577272593975067","0.8581818342208862","0.8581818342208862","0.8581818342208862","0.6759091019630432","0.6759091019630432","0.6759091019630432","296300","296022","296578","0.3777272701263428","0.3777272701263428","0.3777272701263428","0.8895454406738281","0.8895454406738281","0.8895454406738281","0.668181836605072","0.668181836605072","0.668181836605072","326857","326579","327135","0.39500001072883606","0.39500001072883606","0.39500001072883606","0.8759090900421143","0.8759090900421143","0.8759090900421143","0.6804545521736145","0.6804545521736145","0.6804545521736145"
