"labelled_examples","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX"
"500","27656","27378","27934","0.3436363637447357","0.3436363637447357","0.3436363637447357","0.682272732257843","0.682272732257843","0.682272732257843","0.5613636374473572","0.5613636374473572","0.5613636374473572","27656","27378","27934","0.3436363637447357","0.3436363637447357","0.3436363637447357","0.682272732257843","0.682272732257843","0.682272732257843","0.5613636374473572","0.5613636374473572","0.5613636374473572","27656","27378","27934","0.3436363637447357","0.3436363637447357","0.3436363637447357","0.682272732257843","0.682272732257843","0.682272732257843","0.5613636374473572","0.5613636374473572","0.5613636374473572","27656","27378","27934","0.3436363637447357","0.3436363637447357","0.3436363637447357","0.682272732257843","0.682272732257843","0.682272732257843","0.5613636374473572","0.5613636374473572","0.5613636374473572"
"1000","80603","80325","80881","0.334090918302536","0.334090918302536","0.334090918302536","0.75","0.75","0.75","0.5872727036476135","0.5872727036476135","0.5872727036476135","72045","71767","72323","0.35181817412376404","0.35181817412376404","0.35181817412376404","0.7736363410949707","0.7736363410949707","0.7736363410949707","0.4968181848526001","0.4968181848526001","0.4968181848526001","72045","71767","72323","0.34545454382896423","0.34545454382896423","0.34545454382896423","0.8227272629737854","0.8227272629737854","0.8227272629737854","0.6100000143051147","0.6100000143051147","0.6100000143051147","50579","50301","50857","0.34590908885002136","0.34590908885002136","0.34590908885002136","0.8259090781211853","0.8259090781211853","0.8259090781211853","0.6031818389892578","0.6031818389892578","0.6031818389892578"
"1500","132318","132040","132596","0.33954545855522156","0.33954545855522156","0.33954545855522156","0.7804545164108276","0.7804545164108276","0.7804545164108276","0.6081818342208862","0.6081818342208862","0.6081818342208862","117498","117220","117776","0.348181813955307","0.348181813955307","0.348181813955307","0.8059090971946716","0.8059090971946716","0.8059090971946716","0.5222727060317993","0.5222727060317993","0.5222727060317993","94438","94160","94716","0.3509090840816498","0.3509090840816498","0.3509090840816498","0.7986363768577576","0.7986363768577576","0.7986363768577576","0.614545464515686","0.614545464515686","0.614545464515686","101342","101064","101620","0.3400000035762787","0.3400000035762787","0.3400000035762787","0.8286363482475281","0.8286363482475281","0.8286363482475281","0.6340909004211426","0.6340909004211426","0.6340909004211426"
"2000","200503","200225","200781","0.3449999988079071","0.3449999988079071","0.3449999988079071","0.8277272582054138","0.8277272582054138","0.8277272582054138","0.6131818294525146","0.6131818294525146","0.6131818294525146","141305","141027","141583","0.3431818187236786","0.3431818187236786","0.3431818187236786","0.8790909051895142","0.8790909051895142","0.8790909051895142","0.5927272439002991","0.5927272439002991","0.5927272439002991","141735","141457","142013","0.37272727489471436","0.37272727489471436","0.37272727489471436","0.8218181729316711","0.8218181729316711","0.8218181729316711","0.6031818389892578","0.6031818389892578","0.6031818389892578","121729","121451","122007","0.36818182468414307","0.36818182468414307","0.36818182468414307","0.8477272987365723","0.8477272987365723","0.8477272987365723","0.6254545450210571","0.6254545450210571","0.6254545450210571"
"2500","244475","244197","244753","0.36000001430511475","0.36000001430511475","0.36000001430511475","0.8445454835891724","0.8445454835891724","0.8445454835891724","0.6572727560997009","0.6572727560997009","0.6572727560997009","235875","235597","236153","0.360909104347229","0.360909104347229","0.360909104347229","0.8618181943893433","0.8618181943893433","0.8618181943893433","0.6436363458633423","0.6436363458633423","0.6436363458633423","223041","222763","223319","0.37454545497894287","0.37454545497894287","0.37454545497894287","0.8186363577842712","0.8186363577842712","0.8186363577842712","0.607272744178772","0.607272744178772","0.607272744178772","142360","142082","142638","0.37590909004211426","0.37590909004211426","0.37590909004211426","0.8463636636734009","0.8463636636734009","0.8463636636734009","0.6586363911628723","0.6586363911628723","0.6586363911628723"
"3000","324640","324362","324918","0.36181819438934326","0.36181819438934326","0.36181819438934326","0.8554545640945435","0.8554545640945435","0.8554545640945435","0.6513636112213135","0.6513636112213135","0.6513636112213135","260714","260436","260992","0.3668181896209717","0.3668181896209717","0.3668181896209717","0.8690909147262573","0.8690909147262573","0.8690909147262573","0.6304545402526855","0.6304545402526855","0.6304545402526855","259672","259394","259950","0.35545453429222107","0.35545453429222107","0.35545453429222107","0.8540909290313721","0.8540909290313721","0.8540909290313721","0.6509090662002563","0.6509090662002563","0.6509090662002563","171107","170829","171385","0.37863636016845703","0.37863636016845703","0.37863636016845703","0.8700000047683716","0.8700000047683716","0.8700000047683716","0.6663636565208435","0.6663636565208435","0.6663636565208435"
"3500","380227","379949","380505","0.3736363649368286","0.3736363649368286","0.3736363649368286","0.8590909242630005","0.8590909242630005","0.8590909242630005","0.6395454406738281","0.6395454406738281","0.6395454406738281","297620","297342","297898","0.36318182945251465","0.36318182945251465","0.36318182945251465","0.8586363792419434","0.8586363792419434","0.8586363792419434","0.6281818151473999","0.6281818151473999","0.6281818151473999","327126","326848","327404","0.36136364936828613","0.36136364936828613","0.36136364936828613","0.8518182039260864","0.8518182039260864","0.8518182039260864","0.6268181800842285","0.6268181800842285","0.6268181800842285","197720","197442","197998","0.38227272033691406","0.38227272033691406","0.38227272033691406","0.864545464515686","0.864545464515686","0.864545464515686","0.6672727465629578","0.6672727465629578","0.6672727465629578"
"4000","467647","467369","467925","0.3668181896209717","0.3668181896209717","0.3668181896209717","0.8659090995788574","0.8659090995788574","0.8659090995788574","0.6572727560997009","0.6572727560997009","0.6572727560997009","334147","333869","334425","0.36318182945251465","0.36318182945251465","0.36318182945251465","0.8700000047683716","0.8700000047683716","0.8700000047683716","0.6422727108001709","0.6422727108001709","0.6422727108001709","367457","367179","367735","0.39136365056037903","0.39136365056037903","0.39136365056037903","0.8486363887786865","0.8486363887786865","0.8486363887786865","0.6340909004211426","0.6340909004211426","0.6340909004211426","224735","224457","225013","0.38045454025268555","0.38045454025268555","0.38045454025268555","0.8663636445999146","0.8663636445999146","0.8663636445999146","0.6604545712471008","0.6604545712471008","0.6604545712471008"
