"labelled_examples","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX"
"500","29468","29190","29746","0.3368181884288788","0.3368181884288788","0.3368181884288788","0.6481817960739136","0.6481817960739136","0.6481817960739136","0.5531818270683289","0.5531818270683289","0.5531818270683289","29468","29190","29746","0.3368181884288788","0.3368181884288788","0.3368181884288788","0.6481817960739136","0.6481817960739136","0.6481817960739136","0.5531818270683289","0.5531818270683289","0.5531818270683289","29468","29190","29746","0.3368181884288788","0.3368181884288788","0.3368181884288788","0.6481817960739136","0.6481817960739136","0.6481817960739136","0.5531818270683289","0.5531818270683289","0.5531818270683289","29468","29190","29746","0.3368181884288788","0.3368181884288788","0.3368181884288788","0.6481817960739136","0.6481817960739136","0.6481817960739136","0.5531818270683289","0.5531818270683289","0.5531818270683289"
"1000","68937","68659","69215","0.3322727382183075","0.3322727382183075","0.3322727382183075","0.7868182063102722","0.7868182063102722","0.7868182063102722","0.6272727251052856","0.6272727251052856","0.6272727251052856","69921","69643","70199","0.36500000953674316","0.36500000953674316","0.36500000953674316","0.7577272653579712","0.7577272653579712","0.7577272653579712","0.5681818127632141","0.5681818127632141","0.5681818127632141","94275","93997","94553","0.3690909147262573","0.3690909147262573","0.3690909147262573","0.7390909194946289","0.7390909194946289","0.7390909194946289","0.6177272796630859","0.6177272796630859","0.6177272796630859","52391","52113","52669","0.334090918302536","0.334090918302536","0.334090918302536","0.7872727513313293","0.7872727513313293","0.7872727513313293","0.6195454597473145","0.6195454597473145","0.6195454597473145"
"1500","97702","97424","97980","0.3704545497894287","0.3704545497894287","0.3704545497894287","0.8231818079948425","0.8231818079948425","0.8231818079948425","0.6559090614318848","0.6559090614318848","0.6559090614318848","119318","119040","119596","0.34227272868156433","0.34227272868156433","0.34227272868156433","0.8481818437576294","0.8481818437576294","0.8481818437576294","0.6518181562423706","0.6518181562423706","0.6518181562423706","138078","137800","138356","0.39136365056037903","0.39136365056037903","0.39136365056037903","0.8113636374473572","0.8113636374473572","0.8113636374473572","0.6581818461418152","0.6581818461418152","0.6581818461418152","75846","75568","76124","0.38045454025268555","0.38045454025268555","0.38045454025268555","0.7909091114997864","0.7909091114997864","0.7909091114997864","0.610909104347229","0.610909104347229","0.610909104347229"
"2000","124929","124651","125207","0.3654545545578003","0.3654545545578003","0.3654545545578003","0.8372727036476135","0.8372727036476135","0.8372727036476135","0.6568182110786438","0.6568182110786438","0.6568182110786438","141985","141707","142263","0.37590909004211426","0.37590909004211426","0.37590909004211426","0.8363636136054993","0.8363636136054993","0.8363636136054993","0.6236363649368286","0.6236363649368286","0.6236363649368286","189987","189709","190265","0.34590908885002136","0.34590908885002136","0.34590908885002136","0.8418181538581848","0.8418181538581848","0.8418181538581848","0.6454545259475708","0.6454545259475708","0.6454545259475708","161693","161415","161971","0.41363635659217834","0.41363635659217834","0.41363635659217834","0.8368181586265564","0.8368181586265564","0.8368181586265564","0.6481817960739136","0.6481817960739136","0.6481817960739136"
"2500","147605","147327","147883","0.36636364459991455","0.36636364459991455","0.36636364459991455","0.8436363339424133","0.8436363339424133","0.8436363339424133","0.6668182015419006","0.6668182015419006","0.6668182015419006","168751","168473","169029","0.3722727298736572","0.3722727298736572","0.3722727298736572","0.8722727298736572","0.8722727298736572","0.8722727298736572","0.6486363410949707","0.6486363410949707","0.6486363410949707","242235","241957","242513","0.3940909206867218","0.3940909206867218","0.3940909206867218","0.8345454335212708","0.8345454335212708","0.8345454335212708","0.6677272915840149","0.6677272915840149","0.6677272915840149","226639","226361","226917","0.36136364936828613","0.36136364936828613","0.36136364936828613","0.8600000143051147","0.8600000143051147","0.8600000143051147","0.6700000166893005","0.6700000166893005","0.6700000166893005"
"3000","174432","174154","174710","0.36000001430511475","0.36000001430511475","0.36000001430511475","0.8413636088371277","0.8413636088371277","0.8413636088371277","0.6740909218788147","0.6740909218788147","0.6740909218788147","194550","194272","194828","0.35818180441856384","0.35818180441856384","0.35818180441856384","0.8672727346420288","0.8672727346420288","0.8672727346420288","0.6736363768577576","0.6736363768577576","0.6736363768577576","287816","287538","288094","0.3809090852737427","0.3809090852737427","0.3809090852737427","0.8340908885002136","0.8340908885002136","0.8340908885002136","0.6604545712471008","0.6604545712471008","0.6604545712471008","289196","288918","289474","0.3799999952316284","0.3799999952316284","0.3799999952316284","0.8409090638160706","0.8409090638160706","0.8409090638160706","0.6777272820472717","0.6777272820472717","0.6777272820472717"
"3500","199171","198893","199449","0.35499998927116394","0.35499998927116394","0.35499998927116394","0.8600000143051147","0.8600000143051147","0.8600000143051147","0.6640909314155579","0.6640909314155579","0.6640909314155579","286220","285942","286498","0.36000001430511475","0.36000001430511475","0.36000001430511475","0.8654545545578003","0.8654545545578003","0.8654545545578003","0.6722727417945862","0.6722727417945862","0.6722727417945862","336449","336171","336727","0.35818180441856384","0.35818180441856384","0.35818180441856384","0.8586363792419434","0.8586363792419434","0.8586363792419434","0.6790909171104431","0.6790909171104431","0.6790909171104431","333477","333199","333755","0.39636364579200745","0.39636364579200745","0.39636364579200745","0.8309090733528137","0.8309090733528137","0.8309090733528137","0.6881818175315857","0.6881818175315857","0.6881818175315857"
"4000","230942","230664","231220","0.38045454025268555","0.38045454025268555","0.38045454025268555","0.8440909385681152","0.8440909385681152","0.8440909385681152","0.6672727465629578","0.6672727465629578","0.6672727465629578","315137","314859","315415","0.3559090793132782","0.3559090793132782","0.3559090793132782","0.8736363649368286","0.8736363649368286","0.8736363649368286","0.6740909218788147","0.6740909218788147","0.6740909218788147","393295","393017","393573","0.360909104347229","0.360909104347229","0.360909104347229","0.8554545640945435","0.8554545640945435","0.8554545640945435","0.6672727465629578","0.6672727465629578","0.6672727465629578","452838","452560","453116","0.39636364579200745","0.39636364579200745","0.39636364579200745","0.8627272844314575","0.8627272844314575","0.8627272844314575","0.6600000262260437","0.6600000262260437","0.6600000262260437"
