"labelled_examples","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX"
"500","32186","31908","32464","0.33954545855522156","0.33954545855522156","0.33954545855522156","0.5809090733528137","0.5809090733528137","0.5809090733528137","0.5072727203369141","0.5072727203369141","0.5072727203369141","32186","31908","32464","0.33954545855522156","0.33954545855522156","0.33954545855522156","0.5809090733528137","0.5809090733528137","0.5809090733528137","0.5072727203369141","0.5072727203369141","0.5072727203369141","32186","31908","32464","0.33954545855522156","0.33954545855522156","0.33954545855522156","0.5809090733528137","0.5809090733528137","0.5809090733528137","0.5072727203369141","0.5072727203369141","0.5072727203369141","32186","31908","32464","0.33954545855522156","0.33954545855522156","0.33954545855522156","0.5809090733528137","0.5809090733528137","0.5809090733528137","0.5072727203369141","0.5072727203369141","0.5072727203369141"
"1000","82197","81919","82475","0.33954545855522156","0.33954545855522156","0.33954545855522156","0.7509090900421143","0.7509090900421143","0.7509090900421143","0.5681818127632141","0.5681818127632141","0.5681818127632141","51173","50895","51451","0.3322727382183075","0.3322727382183075","0.3322727382183075","0.8431817889213562","0.8431817889213562","0.8431817889213562","0.6304545402526855","0.6304545402526855","0.6304545402526855","59045","58767","59323","0.33181819319725037","0.33181819319725037","0.33181819319725037","0.8145454525947571","0.8145454525947571","0.8145454525947571","0.6131818294525146","0.6131818294525146","0.6131818294525146","57077","56799","57355","0.3354545533657074","0.3354545533657074","0.3354545533657074","0.8459091186523438","0.8459091186523438","0.8459091186523438","0.6086363792419434","0.6086363792419434","0.6086363792419434"
"1500","151098","150820","151376","0.34863635897636414","0.34863635897636414","0.34863635897636414","0.8090909123420715","0.8090909123420715","0.8090909123420715","0.5936363339424133","0.5936363339424133","0.5936363339424133","73566","73288","73844","0.3436363637447357","0.3436363637447357","0.3436363637447357","0.8399999737739563","0.8399999737739563","0.8399999737739563","0.6336363554000854","0.6336363554000854","0.6336363554000854","81438","81160","81716","0.3590908944606781","0.3590908944606781","0.3590908944606781","0.8404545187950134","0.8404545187950134","0.8404545187950134","0.6549999713897705","0.6549999713897705","0.6549999713897705","108902","108624","109180","0.36772727966308594","0.36772727966308594","0.36772727966308594","0.835454523563385","0.835454523563385","0.835454523563385","0.6368181705474854","0.6368181705474854","0.6368181705474854"
"2000","199449","199171","199727","0.348181813955307","0.348181813955307","0.348181813955307","0.8418181538581848","0.8418181538581848","0.8418181538581848","0.6436363458633423","0.6436363458633423","0.6436363458633423","119723","119445","120001","0.3477272689342499","0.3477272689342499","0.3477272689342499","0.8522727489471436","0.8522727489471436","0.8522727489471436","0.6468181610107422","0.6468181610107422","0.6468181610107422","104105","103827","104383","0.3559090793132782","0.3559090793132782","0.3559090793132782","0.8349999785423279","0.8349999785423279","0.8349999785423279","0.6627272963523865","0.6627272963523865","0.6627272963523865","209569","209291","209847","0.36954545974731445","0.36954545974731445","0.36954545974731445","0.8118181824684143","0.8118181824684143","0.8118181824684143","0.6436363458633423","0.6436363458633423","0.6436363458633423"
"2500","249312","249034","249590","0.3799999952316284","0.3799999952316284","0.3799999952316284","0.8431817889213562","0.8431817889213562","0.8431817889213562","0.6754545569419861","0.6754545569419861","0.6754545569419861","142399","142121","142677","0.3290909230709076","0.3290909230709076","0.3290909230709076","0.8472727537155151","0.8472727537155151","0.8472727537155151","0.6663636565208435","0.6663636565208435","0.6663636565208435","145955","145677","146233","0.36000001430511475","0.36000001430511475","0.36000001430511475","0.8500000238418579","0.8500000238418579","0.8500000238418579","0.668181836605072","0.668181836605072","0.668181836605072","238380","238102","238658","0.3777272701263428","0.3777272701263428","0.3777272701263428","0.846818208694458","0.846818208694458","0.846818208694458","0.6349999904632568","0.6349999904632568","0.6349999904632568"
"3000","302275","301997","302553","0.3627272844314575","0.3627272844314575","0.3627272844314575","0.8477272987365723","0.8477272987365723","0.8477272987365723","0.6827272772789001","0.6827272772789001","0.6827272772789001","181776","181498","182054","0.3463636338710785","0.3463636338710785","0.3463636338710785","0.8686363697052002","0.8686363697052002","0.8686363697052002","0.6700000166893005","0.6700000166893005","0.6700000166893005","167846","167568","168124","0.3477272689342499","0.3477272689342499","0.3477272689342499","0.8545454740524292","0.8545454740524292","0.8545454740524292","0.6722727417945862","0.6722727417945862","0.6722727417945862","269115","268837","269393","0.3540908992290497","0.3540908992290497","0.3540908992290497","0.8522727489471436","0.8522727489471436","0.8522727489471436","0.678636372089386","0.678636372089386","0.678636372089386"
"3500","360671","360393","360949","0.3627272844314575","0.3627272844314575","0.3627272844314575","0.8640909194946289","0.8640909194946289","0.8640909194946289","0.6768181920051575","0.6768181920051575","0.6768181920051575","218682","218404","218960","0.36454546451568604","0.36454546451568604","0.36454546451568604","0.871363639831543","0.871363639831543","0.871363639831543","0.6568182110786438","0.6568182110786438","0.6568182110786438","199138","198860","199416","0.38999998569488525","0.38999998569488525","0.38999998569488525","0.864545464515686","0.864545464515686","0.864545464515686","0.6736363768577576","0.6736363768577576","0.6736363768577576","375649","375371","375927","0.3781818151473999","0.3781818151473999","0.3781818151473999","0.8554545640945435","0.8554545640945435","0.8554545640945435","0.675000011920929","0.675000011920929","0.675000011920929"
"4000","429226","428948","429504","0.40454545617103577","0.40454545617103577","0.40454545617103577","0.8527272939682007","0.8527272939682007","0.8527272939682007","0.6709091067314148","0.6709091067314148","0.6709091067314148","255209","254931","255487","0.3690909147262573","0.3690909147262573","0.3690909147262573","0.8709090948104858","0.8709090948104858","0.8709090948104858","0.6513636112213135","0.6513636112213135","0.6513636112213135","226153","225875","226431","0.3718181848526001","0.3718181848526001","0.3718181848526001","0.8604545593261719","0.8604545593261719","0.8604545593261719","0.6781818270683289","0.6781818270683289","0.6781818270683289","548152","547874","548430","0.3640909194946289","0.3640909194946289","0.3640909194946289","0.8554545640945435","0.8554545640945435","0.8554545640945435","0.6695454716682434","0.6695454716682434","0.6695454716682434"
