"labelled_examples","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX"
"500","20408","20130","20686","0.34909090399742126","0.34909090399742126","0.34909090399742126","0.6895454525947571","0.6895454525947571","0.6895454525947571","0.5277272462844849","0.5277272462844849","0.5277272462844849","20408","20130","20686","0.34909090399742126","0.34909090399742126","0.34909090399742126","0.6895454525947571","0.6895454525947571","0.6895454525947571","0.5277272462844849","0.5277272462844849","0.5277272462844849","20408","20130","20686","0.34909090399742126","0.34909090399742126","0.34909090399742126","0.6895454525947571","0.6895454525947571","0.6895454525947571","0.5277272462844849","0.5277272462844849","0.5277272462844849","20408","20130","20686","0.34909090399742126","0.34909090399742126","0.34909090399742126","0.6895454525947571","0.6895454525947571","0.6895454525947571","0.5277272462844849","0.5277272462844849","0.5277272462844849"
"1000","74387","74109","74665","0.3327272832393646","0.3327272832393646","0.3327272832393646","0.7972727417945862","0.7972727417945862","0.7972727417945862","0.6118181943893433","0.6118181943893433","0.6118181943893433","48251","47973","48529","0.3240908980369568","0.3240908980369568","0.3240908980369568","0.793181836605072","0.793181836605072","0.793181836605072","0.5577272772789001","0.5577272772789001","0.5577272772789001","39395","39117","39673","0.3418181836605072","0.3418181836605072","0.3418181836605072","0.7659090757369995","0.7659090757369995","0.7659090757369995","0.5840908885002136","0.5840908885002136","0.5840908885002136","42347","42069","42625","0.32863637804985046","0.32863637804985046","0.32863637804985046","0.8227272629737854","0.8227272629737854","0.8227272629737854","0.6059091091156006","0.6059091091156006","0.6059091091156006"
"1500","124852","124574","125130","0.3577272593975067","0.3577272593975067","0.3577272593975067","0.8359090685844421","0.8359090685844421","0.8359090685844421","0.649545431137085","0.649545431137085","0.649545431137085","72768","72490","73046","0.34227272868156433","0.34227272868156433","0.34227272868156433","0.8377272486686707","0.8377272486686707","0.8377272486686707","0.6077272891998291","0.6077272891998291","0.6077272891998291","63912","63634","64190","0.34909090399742126","0.34909090399742126","0.34909090399742126","0.8399999737739563","0.8399999737739563","0.8399999737739563","0.6545454263687134","0.6545454263687134","0.6545454263687134","112984","112706","113262","0.35863634943962097","0.35863634943962097","0.35863634943962097","0.8209090828895569","0.8209090828895569","0.8209090828895569","0.6050000190734863","0.6050000190734863","0.6050000190734863"
"2000","171375","171097","171653","0.3799999952316284","0.3799999952316284","0.3799999952316284","0.8368181586265564","0.8368181586265564","0.8368181586265564","0.6372727155685425","0.6372727155685425","0.6372727155685425","95435","95157","95713","0.3654545545578003","0.3654545545578003","0.3654545545578003","0.8395454287528992","0.8395454287528992","0.8395454287528992","0.5886363387107849","0.5886363387107849","0.5886363387107849","86579","86301","86857","0.37090909481048584","0.37090909481048584","0.37090909481048584","0.8550000190734863","0.8550000190734863","0.8550000190734863","0.6409090757369995","0.6409090757369995","0.6409090757369995","217071","216793","217349","0.37590909004211426","0.37590909004211426","0.37590909004211426","0.8450000286102295","0.8450000286102295","0.8450000286102295","0.6549999713897705","0.6549999713897705","0.6549999713897705"
"2500","247733","247455","248011","0.389090895652771","0.389090895652771","0.389090895652771","0.8413636088371277","0.8413636088371277","0.8413636088371277","0.6640909314155579","0.6640909314155579","0.6640909314155579","123252","122974","123530","0.3372727334499359","0.3372727334499359","0.3372727334499359","0.8440909385681152","0.8440909385681152","0.8440909385681152","0.5990909337997437","0.5990909337997437","0.5990909337997437","108261","107983","108539","0.3777272701263428","0.3777272701263428","0.3777272701263428","0.8550000190734863","0.8550000190734863","0.8550000190734863","0.6563636660575867","0.6563636660575867","0.6563636660575867","273011","272733","273289","0.375","0.375","0.375","0.8454545736312866","0.8454545736312866","0.8454545736312866","0.6545454263687134","0.6545454263687134","0.6545454263687134"
"3000","309496","309218","309774","0.3840909004211426","0.3840909004211426","0.3840909004211426","0.8509091138839722","0.8509091138839722","0.8509091138839722","0.6663636565208435","0.6663636565208435","0.6663636565208435","153027","152749","153305","0.3559090793132782","0.3559090793132782","0.3559090793132782","0.8540909290313721","0.8540909290313721","0.8540909290313721","0.6581818461418152","0.6581818461418152","0.6581818461418152","149558","149280","149836","0.37727272510528564","0.37727272510528564","0.37727272510528564","0.8463636636734009","0.8463636636734009","0.8463636636734009","0.6600000262260437","0.6600000262260437","0.6600000262260437","300798","300520","301076","0.3704545497894287","0.3704545497894287","0.3704545497894287","0.8418181538581848","0.8418181538581848","0.8418181538581848","0.6709091067314148","0.6709091067314148","0.6709091067314148"
"3500","374474","374196","374752","0.37545454502105713","0.37545454502105713","0.37545454502105713","0.8559091091156006","0.8559091091156006","0.8559091091156006","0.6759091019630432","0.6759091019630432","0.6759091019630432","190868","190590","191146","0.35227271914482117","0.35227271914482117","0.35227271914482117","0.8677272796630859","0.8677272796630859","0.8677272796630859","0.6218181848526001","0.6218181848526001","0.6218181848526001","179910","179632","180188","0.37545454502105713","0.37545454502105713","0.37545454502105713","0.8495454788208008","0.8495454788208008","0.8495454788208008","0.6690909266471863","0.6690909266471863","0.6690909266471863","398190","397912","398468","0.38818180561065674","0.38818180561065674","0.38818180561065674","0.8431817889213562","0.8431817889213562","0.8431817889213562","0.6763636469841003","0.6763636469841003","0.6763636469841003"
"4000","439899","439621","440177","0.3572727143764496","0.3572727143764496","0.3572727143764496","0.8531818389892578","0.8531818389892578","0.8531818389892578","0.6863636374473572","0.6863636374473572","0.6863636374473572","226443","226165","226721","0.3604545593261719","0.3604545593261719","0.3604545593261719","0.8677272796630859","0.8677272796630859","0.8677272796630859","0.6559090614318848","0.6559090614318848","0.6559090614318848","206925","206647","207203","0.3777272701263428","0.3777272701263428","0.3777272701263428","0.8577272891998291","0.8577272891998291","0.8577272891998291","0.6622727513313293","0.6622727513313293","0.6622727513313293","456470","456192","456748","0.40272727608680725","0.40272727608680725","0.40272727608680725","0.8509091138839722","0.8509091138839722","0.8509091138839722","0.6804545521736145","0.6804545521736145","0.6804545521736145"
