"labelled_examples","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX"
"500","30374","30096","30652","0.34863635897636414","0.34863635897636414","0.34863635897636414","0.696363627910614","0.696363627910614","0.696363627910614","0.5377272963523865","0.5377272963523865","0.5377272963523865","30374","30096","30652","0.34863635897636414","0.34863635897636414","0.34863635897636414","0.696363627910614","0.696363627910614","0.696363627910614","0.5377272963523865","0.5377272963523865","0.5377272963523865","30374","30096","30652","0.34863635897636414","0.34863635897636414","0.34863635897636414","0.696363627910614","0.696363627910614","0.696363627910614","0.5377272963523865","0.5377272963523865","0.5377272963523865","30374","30096","30652","0.34863635897636414","0.34863635897636414","0.34863635897636414","0.696363627910614","0.696363627910614","0.696363627910614","0.5377272963523865","0.5377272963523865","0.5377272963523865"
"1000","91113","90835","91391","0.37090909481048584","0.37090909481048584","0.37090909481048584","0.7945454716682434","0.7945454716682434","0.7945454716682434","0.6013636589050293","0.6013636589050293","0.6013636589050293","52313","52035","52591","0.3431818187236786","0.3431818187236786","0.3431818187236786","0.8245454430580139","0.8245454430580139","0.8245454430580139","0.5609090924263","0.5609090924263","0.5609090924263","53297","53019","53575","0.3595454692840576","0.3595454692840576","0.3595454692840576","0.8272727131843567","0.8272727131843567","0.8272727131843567","0.621363639831543","0.621363639831543","0.621363639831543","52313","52035","52591","0.34409090876579285","0.34409090876579285","0.34409090876579285","0.7459090948104858","0.7459090948104858","0.7459090948104858","0.5763636231422424","0.5763636231422424","0.5763636231422424"
"1500","142048","141770","142326","0.36318182945251465","0.36318182945251465","0.36318182945251465","0.8336363434791565","0.8336363434791565","0.8336363434791565","0.6477272510528564","0.6477272510528564","0.6477272510528564","82140","81862","82418","0.3604545593261719","0.3604545593261719","0.3604545593261719","0.8509091138839722","0.8509091138839722","0.8509091138839722","0.5963636636734009","0.5963636636734009","0.5963636636734009","72504","72226","72782","0.34590908885002136","0.34590908885002136","0.34590908885002136","0.8186363577842712","0.8186363577842712","0.8186363577842712","0.6140909194946289","0.6140909194946289","0.6140909194946289","92456","92178","92734","0.35863634943962097","0.35863634943962097","0.35863634943962097","0.8245454430580139","0.8245454430580139","0.8245454430580139","0.5840908885002136","0.5840908885002136","0.5840908885002136"
"2000","200251","199973","200529","0.3877272605895996","0.3877272605895996","0.3877272605895996","0.8336363434791565","0.8336363434791565","0.8336363434791565","0.6281818151473999","0.6281818151473999","0.6281818151473999","140387","140109","140665","0.3840909004211426","0.3840909004211426","0.3840909004211426","0.8372727036476135","0.8372727036476135","0.8372727036476135","0.6195454597473145","0.6195454597473145","0.6195454597473145","103151","102873","103429","0.3795454502105713","0.3795454502105713","0.3795454502105713","0.8518182039260864","0.8518182039260864","0.8518182039260864","0.6636363863945007","0.6636363863945007","0.6636363863945007","117403","117125","117681","0.3799999952316284","0.3799999952316284","0.3799999952316284","0.8409090638160706","0.8409090638160706","0.8409090638160706","0.653181791305542","0.653181791305542","0.653181791305542"
"2500","260980","260702","261258","0.35045453906059265","0.35045453906059265","0.35045453906059265","0.8659090995788574","0.8659090995788574","0.8659090995788574","0.6568182110786438","0.6568182110786438","0.6568182110786438","173288","173010","173566","0.37727272510528564","0.37727272510528564","0.37727272510528564","0.8690909147262573","0.8690909147262573","0.8690909147262573","0.653181791305542","0.653181791305542","0.653181791305542","141962","141684","142240","0.3659090995788574","0.3659090995788574","0.3659090995788574","0.8518182039260864","0.8518182039260864","0.8518182039260864","0.6836363673210144","0.6836363673210144","0.6836363673210144","273417","273139","273695","0.35863634943962097","0.35863634943962097","0.35863634943962097","0.8550000190734863","0.8550000190734863","0.8550000190734863","0.6659091114997864","0.6659091114997864","0.6659091114997864"
"3000","312931","312653","313209","0.34590908885002136","0.34590908885002136","0.34590908885002136","0.864545464515686","0.864545464515686","0.864545464515686","0.6604545712471008","0.6604545712471008","0.6604545712471008","201075","200797","201353","0.3640909194946289","0.3640909194946289","0.3640909194946289","0.8622727394104004","0.8622727394104004","0.8622727394104004","0.6586363911628723","0.6586363911628723","0.6586363911628723","167761","167483","168039","0.35499998927116394","0.35499998927116394","0.35499998927116394","0.8559091091156006","0.8559091091156006","0.8559091091156006","0.6663636565208435","0.6663636565208435","0.6663636565208435","335974","335696","336252","0.36772727966308594","0.36772727966308594","0.36772727966308594","0.8372727036476135","0.8372727036476135","0.8372727036476135","0.6499999761581421","0.6499999761581421","0.6499999761581421"
"3500","375005","374727","375283","0.38227272033691406","0.38227272033691406","0.38227272033691406","0.857272744178772","0.857272744178772","0.857272744178772","0.6745454668998718","0.6745454668998718","0.6745454668998718","237981","237703","238259","0.39136365056037903","0.39136365056037903","0.39136365056037903","0.8631818294525146","0.8631818294525146","0.8631818294525146","0.6459090709686279","0.6459090709686279","0.6459090709686279","194374","194096","194652","0.38999998569488525","0.38999998569488525","0.38999998569488525","0.8581818342208862","0.8581818342208862","0.8581818342208862","0.6600000262260437","0.6600000262260437","0.6600000262260437","391482","391204","391760","0.38363635540008545","0.38363635540008545","0.38363635540008545","0.8327272534370422","0.8327272534370422","0.8327272534370422","0.6545454263687134","0.6545454263687134","0.6545454263687134"
"4000","441590","441312","441868","0.3795454502105713","0.3795454502105713","0.3795454502105713","0.8495454788208008","0.8495454788208008","0.8495454788208008","0.6722727417945862","0.6722727417945862","0.6722727417945862","276410","276132","276688","0.3577272593975067","0.3577272593975067","0.3577272593975067","0.8622727394104004","0.8622727394104004","0.8622727394104004","0.6622727513313293","0.6622727513313293","0.6622727513313293","222340","222062","222618","0.3809090852737427","0.3809090852737427","0.3809090852737427","0.8627272844314575","0.8627272844314575","0.8627272844314575","0.6695454716682434","0.6695454716682434","0.6695454716682434","473169","472891","473447","0.38227272033691406","0.38227272033691406","0.38227272033691406","0.8527272939682007","0.8527272939682007","0.8527272939682007","0.660909116268158","0.660909116268158","0.660909116268158"
