"labelled_examples","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX"
"500","25844","25566","26122","0.3477272689342499","0.3477272689342499","0.3477272689342499","0.7477272748947144","0.7477272748947144","0.7477272748947144","0.5504545569419861","0.5504545569419861","0.5504545569419861","25844","25566","26122","0.3477272689342499","0.3477272689342499","0.3477272689342499","0.7477272748947144","0.7477272748947144","0.7477272748947144","0.5504545569419861","0.5504545569419861","0.5504545569419861","25844","25566","26122","0.3477272689342499","0.3477272689342499","0.3477272689342499","0.7477272748947144","0.7477272748947144","0.7477272748947144","0.5504545569419861","0.5504545569419861","0.5504545569419861","25844","25566","26122","0.3477272689342499","0.3477272689342499","0.3477272689342499","0.7477272748947144","0.7477272748947144","0.7477272748947144","0.5504545569419861","0.5504545569419861","0.5504545569419861"
"1000","45815","45537","46093","0.34727272391319275","0.34727272391319275","0.34727272391319275","0.8268181681632996","0.8268181681632996","0.8268181681632996","0.6277272701263428","0.6277272701263428","0.6277272701263428","72935","72657","73213","0.34227272868156433","0.34227272868156433","0.34227272868156433","0.7631818056106567","0.7631818056106567","0.7631818056106567","0.5427272915840149","0.5427272915840149","0.5427272915840149","47783","47505","48061","0.35499998927116394","0.35499998927116394","0.35499998927116394","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.6127272844314575","0.6127272844314575","0.6127272844314575","44831","44553","45109","0.33772727847099304","0.33772727847099304","0.33772727847099304","0.7909091114997864","0.7909091114997864","0.7909091114997864","0.5659090876579285","0.5659090876579285","0.5659090876579285"
"1500","82772","82494","83050","0.3577272593975067","0.3577272593975067","0.3577272593975067","0.8349999785423279","0.8349999785423279","0.8349999785423279","0.6036363840103149","0.6036363840103149","0.6036363840103149","128096","127818","128374","0.35363635420799255","0.35363635420799255","0.35363635420799255","0.8272727131843567","0.8272727131843567","0.8272727131843567","0.6436363458633423","0.6436363458633423","0.6436363458633423","74424","74146","74702","0.39454546570777893","0.39454546570777893","0.39454546570777893","0.8186363577842712","0.8186363577842712","0.8186363577842712","0.6468181610107422","0.6468181610107422","0.6468181610107422","74658","74380","74936","0.3559090793132782","0.3559090793132782","0.3559090793132782","0.8254545331001282","0.8254545331001282","0.8254545331001282","0.6222727298736572","0.6222727298736572","0.6222727298736572"
"2000","105439","105161","105717","0.35363635420799255","0.35363635420799255","0.35363635420799255","0.8545454740524292","0.8545454740524292","0.8545454740524292","0.6409090757369995","0.6409090757369995","0.6409090757369995","182083","181805","182361","0.37409090995788574","0.37409090995788574","0.37409090995788574","0.8522727489471436","0.8522727489471436","0.8522727489471436","0.6518181562423706","0.6518181562423706","0.6518181562423706","98231","97953","98509","0.36318182945251465","0.36318182945251465","0.36318182945251465","0.8336363434791565","0.8336363434791565","0.8336363434791565","0.6359090805053711","0.6359090805053711","0.6359090805053711","97325","97047","97603","0.3722727298736572","0.3722727298736572","0.3722727298736572","0.8368181586265564","0.8368181586265564","0.8368181586265564","0.6449999809265137","0.6449999809265137","0.6449999809265137"
"2500","141436","141158","141714","0.34909090399742126","0.34909090399742126","0.34909090399742126","0.8690909147262573","0.8690909147262573","0.8690909147262573","0.6431818008422852","0.6431818008422852","0.6431818008422852","237889","237611","238167","0.3527272641658783","0.3527272641658783","0.3527272641658783","0.871363639831543","0.871363639831543","0.871363639831543","0.6659091114997864","0.6659091114997864","0.6659091114997864","160531","160253","160809","0.39454546570777893","0.39454546570777893","0.39454546570777893","0.8336363434791565","0.8336363434791565","0.8336363434791565","0.6368181705474854","0.6368181705474854","0.6368181705474854","123097","122819","123375","0.3668181896209717","0.3668181896209717","0.3668181896209717","0.8427272439002991","0.8427272439002991","0.8427272439002991","0.653181791305542","0.653181791305542","0.653181791305542"
"3000","239925","239647","240203","0.3845454454421997","0.3845454454421997","0.3845454454421997","0.8577272891998291","0.8577272891998291","0.8577272891998291","0.6559090614318848","0.6559090614318848","0.6559090614318848","295736","295458","296014","0.3668181896209717","0.3668181896209717","0.3668181896209717","0.8568181991577148","0.8568181991577148","0.8568181991577148","0.6686363816261292","0.6686363816261292","0.6686363816261292","251204","250926","251482","0.3959091007709503","0.3959091007709503","0.3959091007709503","0.8495454788208008","0.8495454788208008","0.8495454788208008","0.6781818270683289","0.6781818270683289","0.6781818270683289","144988","144710","145266","0.3718181848526001","0.3718181848526001","0.3718181848526001","0.8368181586265564","0.8368181586265564","0.8368181586265564","0.6604545712471008","0.6604545712471008","0.6604545712471008"
"3500","327965","327687","328243","0.38227272033691406","0.38227272033691406","0.38227272033691406","0.8686363697052002","0.8686363697052002","0.8686363697052002","0.6663636565208435","0.6663636565208435","0.6663636565208435","359034","358756","359312","0.36636364459991455","0.36636364459991455","0.36636364459991455","0.8522727489471436","0.8522727489471436","0.8522727489471436","0.6559090614318848","0.6559090614318848","0.6559090614318848","1209754","1209476","1210032","0.4031818211078644","0.4031818211078644","0.4031818211078644","0.8422726988792419","0.8422726988792419","0.8422726988792419","0.6513636112213135","0.6513636112213135","0.6513636112213135","172536","172258","172814","0.3877272605895996","0.3877272605895996","0.3877272605895996","0.8695454597473145","0.8695454597473145","0.8695454597473145","0.6563636660575867","0.6563636660575867","0.6563636660575867"
"4000","367221","366943","367499","0.3668181896209717","0.3668181896209717","0.3668181896209717","0.8636363744735718","0.8636363744735718","0.8636363744735718","0.6668182015419006","0.6668182015419006","0.6668182015419006","417925","417647","418203","0.3672727346420288","0.3672727346420288","0.3672727346420288","0.8618181943893433","0.8618181943893433","0.8618181943893433","0.6704545617103577","0.6704545617103577","0.6704545617103577","","","","","","","","","","","","","199551","199273","199829","0.3731818199157715","0.3731818199157715","0.3731818199157715","0.8704545497894287","0.8704545497894287","0.8704545497894287","0.6436363458633423","0.6436363458633423","0.6436363458633423"
