"labelled_examples","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX"
"500","30374","30096","30652","0.32181817293167114","0.32181817293167114","0.32181817293167114","0.7872727513313293","0.7872727513313293","0.7872727513313293","0.5950000286102295","0.5950000286102295","0.5950000286102295","30374","30096","30652","0.32181817293167114","0.32181817293167114","0.32181817293167114","0.7872727513313293","0.7872727513313293","0.7872727513313293","0.5950000286102295","0.5950000286102295","0.5950000286102295","30374","30096","30652","0.32181817293167114","0.32181817293167114","0.32181817293167114","0.7872727513313293","0.7872727513313293","0.7872727513313293","0.5950000286102295","0.5950000286102295","0.5950000286102295","30374","30096","30652","0.32181817293167114","0.32181817293167114","0.32181817293167114","0.7872727513313293","0.7872727513313293","0.7872727513313293","0.5950000286102295","0.5950000286102295","0.5950000286102295"
"1000","51329","51051","51607","0.33000001311302185","0.33000001311302185","0.33000001311302185","0.8222727179527283","0.8222727179527283","0.8222727179527283","0.6349999904632568","0.6349999904632568","0.6349999904632568","52313","52035","52591","0.321363627910614","0.321363627910614","0.321363627910614","0.8254545331001282","0.8254545331001282","0.8254545331001282","0.6336363554000854","0.6336363554000854","0.6336363554000854","81677","81399","81955","0.33954545855522156","0.33954545855522156","0.33954545855522156","0.7681818008422852","0.7681818008422852","0.7681818008422852","0.6027272939682007","0.6027272939682007","0.6027272939682007","59201","58923","59479","0.35227271914482117","0.35227271914482117","0.35227271914482117","0.7690908908843994","0.7690908908843994","0.7690908908843994","0.6200000047683716","0.6200000047683716","0.6200000047683716"
"1500","95720","95442","95998","0.33772727847099304","0.33772727847099304","0.33772727847099304","0.8122727274894714","0.8122727274894714","0.8122727274894714","0.6254545450210571","0.6254545450210571","0.6254545450210571","76830","76552","77108","0.33818182349205017","0.33818182349205017","0.33818182349205017","0.8399999737739563","0.8399999737739563","0.8399999737739563","0.596818208694458","0.596818208694458","0.596818208694458","129489","129211","129767","0.3449999988079071","0.3449999988079071","0.3449999988079071","0.7990909218788147","0.7990909218788147","0.7990909218788147","0.6513636112213135","0.6513636112213135","0.6513636112213135","106474","106196","106752","0.34409090876579285","0.34409090876579285","0.34409090876579285","0.8090909123420715","0.8090909123420715","0.8090909123420715","0.6540908813476562","0.6540908813476562","0.6540908813476562"
"2000","132757","132479","133035","0.3604545593261719","0.3604545593261719","0.3604545593261719","0.8340908885002136","0.8340908885002136","0.8340908885002136","0.6527272462844849","0.6527272462844849","0.6527272462844849","99497","99219","99775","0.33454546332359314","0.33454546332359314","0.33454546332359314","0.8631818294525146","0.8631818294525146","0.8631818294525146","0.671818196773529","0.671818196773529","0.671818196773529","184580","184302","184858","0.3463636338710785","0.3463636338710785","0.3463636338710785","0.8331817984580994","0.8331817984580994","0.8331817984580994","0.6759091019630432","0.6759091019630432","0.6759091019630432","149211","148933","149489","0.3659090995788574","0.3659090995788574","0.3659090995788574","0.8486363887786865","0.8486363887786865","0.8486363887786865","0.6449999809265137","0.6449999809265137","0.6449999809265137"
"2500","155433","155155","155711","0.3572727143764496","0.3572727143764496","0.3572727143764496","0.8286363482475281","0.8286363482475281","0.8286363482475281","0.6868181824684143","0.6868181824684143","0.6868181824684143","127314","127036","127592","0.38045454025268555","0.38045454025268555","0.38045454025268555","0.860909104347229","0.860909104347229","0.860909104347229","0.6536363363265991","0.6536363363265991","0.6536363363265991","269046","268768","269324","0.3590908944606781","0.3590908944606781","0.3590908944606781","0.8290908932685852","0.8290908932685852","0.8290908932685852","0.6800000071525574","0.6800000071525574","0.6800000071525574","174983","174705","175261","0.3654545545578003","0.3654545545578003","0.3654545545578003","0.8450000286102295","0.8450000286102295","0.8450000286102295","0.6499999761581421","0.6499999761581421","0.6499999761581421"
"3000","179312","179034","179590","0.3295454680919647","0.3295454680919647","0.3295454680919647","0.8636363744735718","0.8636363744735718","0.8636363744735718","0.6700000166893005","0.6700000166893005","0.6700000166893005","174575","174297","174853","0.36500000953674316","0.36500000953674316","0.36500000953674316","0.8681818246841431","0.8681818246841431","0.8681818246841431","0.6813636422157288","0.6813636422157288","0.6813636422157288","346232","345954","346510","0.34272727370262146","0.34272727370262146","0.34272727370262146","0.8640909194946289","0.8640909194946289","0.8640909194946289","0.668181836605072","0.668181836605072","0.668181836605072","242610","242332","242888","0.3795454502105713","0.3795454502105713","0.3795454502105713","0.8463636636734009","0.8463636636734009","0.8463636636734009","0.6613636612892151","0.6613636612892151","0.6613636612892151"
"3500","209664","209386","209942","0.3590908944606781","0.3590908944606781","0.3590908944606781","0.8381817936897278","0.8381817936897278","0.8381817936897278","0.6831818222999573","0.6831818222999573","0.6831818222999573","231018","230740","231296","0.37545454502105713","0.37545454502105713","0.37545454502105713","0.8727272748947144","0.8727272748947144","0.8727272748947144","0.6886363625526428","0.6886363625526428","0.6886363625526428","402224","401946","402502","0.37545454502105713","0.37545454502105713","0.37545454502105713","0.8422726988792419","0.8422726988792419","0.8422726988792419","0.6709091067314148","0.6709091067314148","0.6709091067314148","306428","306150","306706","0.37090909481048584","0.37090909481048584","0.37090909481048584","0.8554545640945435","0.8554545640945435","0.8554545640945435","0.6613636612892151","0.6613636612892151","0.6613636612892151"
"4000","247017","246739","247295","0.3654545545578003","0.3654545545578003","0.3654545545578003","0.8581818342208862","0.8581818342208862","0.8581818342208862","0.6945454478263855","0.6945454478263855","0.6945454478263855","261837","261559","262115","0.35499998927116394","0.35499998927116394","0.35499998927116394","0.8709090948104858","0.8709090948104858","0.8709090948104858","0.6836363673210144","0.6836363673210144","0.6836363673210144","456399","456121","456677","0.37590909004211426","0.37590909004211426","0.37590909004211426","0.8377272486686707","0.8377272486686707","0.8377272486686707","0.6804545521736145","0.6804545521736145","0.6804545521736145","344857","344579","345135","0.38227272033691406","0.38227272033691406","0.38227272033691406","0.8618181943893433","0.8618181943893433","0.8618181943893433","0.6845454573631287","0.6845454573631287","0.6845454573631287"
