"labelled_examples","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX"
"500","23126","22848","23404","0.31409090757369995","0.31409090757369995","0.31409090757369995","0.6790909171104431","0.6790909171104431","0.6790909171104431","0.5350000262260437","0.5350000262260437","0.5350000262260437","23126","22848","23404","0.31409090757369995","0.31409090757369995","0.31409090757369995","0.6790909171104431","0.6790909171104431","0.6790909171104431","0.5350000262260437","0.5350000262260437","0.5350000262260437","23126","22848","23404","0.31409090757369995","0.31409090757369995","0.31409090757369995","0.6790909171104431","0.6790909171104431","0.6790909171104431","0.5350000262260437","0.5350000262260437","0.5350000262260437","23126","22848","23404","0.31409090757369995","0.31409090757369995","0.31409090757369995","0.6790909171104431","0.6790909171104431","0.6790909171104431","0.5350000262260437","0.5350000262260437","0.5350000262260437"
"1000","56873","56595","57151","0.30772727727890015","0.30772727727890015","0.30772727727890015","0.8118181824684143","0.8118181824684143","0.8118181824684143","0.5813636183738708","0.5813636183738708","0.5813636183738708","66205","65927","66483","0.33181819319725037","0.33181819319725037","0.33181819319725037","0.7654545307159424","0.7654545307159424","0.7654545307159424","0.5913636088371277","0.5913636088371277","0.5913636088371277","45065","44787","45343","0.33500000834465027","0.33500000834465027","0.33500000834465027","0.8463636636734009","0.8463636636734009","0.8463636636734009","0.6090909242630005","0.6090909242630005","0.6090909242630005","57675","57397","57953","0.3327272832393646","0.3327272832393646","0.3327272832393646","0.8104545474052429","0.8104545474052429","0.8104545474052429","0.6031818389892578","0.6031818389892578","0.6031818389892578"
"1500","81390","81112","81668","0.3404545485973358","0.3404545485973358","0.3404545485973358","0.831818163394928","0.831818163394928","0.831818163394928","0.6027272939682007","0.6027272939682007","0.6027272939682007","123398","123120","123676","0.34454545378685","0.34454545378685","0.34454545378685","0.8022727370262146","0.8022727370262146","0.8022727370262146","0.6163636445999146","0.6163636445999146","0.6163636445999146","102958","102680","103236","0.330454558134079","0.330454558134079","0.330454558134079","0.8440909385681152","0.8440909385681152","0.8440909385681152","0.6186363697052002","0.6186363697052002","0.6186363697052002","81130","80852","81408","0.3463636338710785","0.3463636338710785","0.3463636338710785","0.8650000095367432","0.8650000095367432","0.8650000095367432","0.6313636302947998","0.6313636302947998","0.6313636302947998"
"2000","117287","117009","117565","0.34863635897636414","0.34863635897636414","0.34863635897636414","0.8527272939682007","0.8527272939682007","0.8527272939682007","0.6468181610107422","0.6468181610107422","0.6468181610107422","163045","162767","163323","0.35863634943962097","0.35863634943962097","0.35863634943962097","0.8559091091156006","0.8559091091156006","0.8559091091156006","0.6604545712471008","0.6604545712471008","0.6604545712471008","125625","125347","125903","0.3495454490184784","0.3495454490184784","0.3495454490184784","0.8568181991577148","0.8568181991577148","0.8568181991577148","0.6295454502105713","0.6295454502105713","0.6295454502105713","107217","106939","107495","0.3640909194946289","0.3640909194946289","0.3640909194946289","0.8604545593261719","0.8604545593261719","0.8604545593261719","0.6463636159896851","0.6463636159896851","0.6463636159896851"
"2500","156323","156045","156601","0.37136363983154297","0.37136363983154297","0.37136363983154297","0.8550000190734863","0.8550000190734863","0.8550000190734863","0.6477272510528564","0.6477272510528564","0.6477272510528564","226222","225944","226500","0.36136364936828613","0.36136364936828613","0.36136364936828613","0.8486363887786865","0.8486363887786865","0.8486363887786865","0.6363636255264282","0.6363636255264282","0.6363636255264282","150346","150068","150624","0.3722727298736572","0.3722727298736572","0.3722727298736572","0.8595454692840576","0.8595454692840576","0.8595454692840576","0.6659091114997864","0.6659091114997864","0.6659091114997864","129893","129615","130171","0.36000001430511475","0.36000001430511475","0.36000001430511475","0.8627272844314575","0.8627272844314575","0.8627272844314575","0.6545454263687134","0.6545454263687134","0.6545454263687134"
"3000","239314","239036","239592","0.36500000953674316","0.36500000953674316","0.36500000953674316","0.8450000286102295","0.8450000286102295","0.8450000286102295","0.6827272772789001","0.6827272772789001","0.6827272772789001","280595","280317","280873","0.3763636350631714","0.3763636350631714","0.3763636350631714","0.8563636541366577","0.8563636541366577","0.8563636541366577","0.653181791305542","0.653181791305542","0.653181791305542","326107","325829","326385","0.38499999046325684","0.38499999046325684","0.38499999046325684","0.8568181991577148","0.8568181991577148","0.8568181991577148","0.6386363506317139","0.6386363506317139","0.6386363506317139","157680","157402","157958","0.36136364936828613","0.36136364936828613","0.36136364936828613","0.864545464515686","0.864545464515686","0.864545464515686","0.6622727513313293","0.6622727513313293","0.6622727513313293"
"3500","287339","287061","287617","0.3827272653579712","0.3827272653579712","0.3827272653579712","0.8650000095367432","0.8650000095367432","0.8650000095367432","0.6536363363265991","0.6536363363265991","0.6536363363265991","329945","329667","330223","0.3731818199157715","0.3731818199157715","0.3731818199157715","0.860909104347229","0.860909104347229","0.860909104347229","0.6572727560997009","0.6572727560997009","0.6572727560997009","399174","398896","399452","0.34863635897636414","0.34863635897636414","0.34863635897636414","0.8768181800842285","0.8768181800842285","0.8768181800842285","0.6631818413734436","0.6631818413734436","0.6631818413734436","189907","189629","190185","0.35363635420799255","0.35363635420799255","0.35363635420799255","0.8704545497894287","0.8704545497894287","0.8704545497894287","0.6572727560997009","0.6572727560997009","0.6572727560997009"
"4000","578076","577798","578354","0.37909090518951416","0.37909090518951416","0.37909090518951416","0.8672727346420288","0.8672727346420288","0.8672727346420288","0.6600000262260437","0.6600000262260437","0.6600000262260437","408879","408601","409157","0.3927272856235504","0.3927272856235504","0.3927272856235504","0.8495454788208008","0.8495454788208008","0.8495454788208008","0.6559090614318848","0.6559090614318848","0.6559090614318848","436652","436374","436930","0.3763636350631714","0.3763636350631714","0.3763636350631714","0.871363639831543","0.871363639831543","0.871363639831543","0.6527272462844849","0.6527272462844849","0.6527272462844849","221678","221400","221956","0.3781818151473999","0.3781818151473999","0.3781818151473999","0.8759090900421143","0.8759090900421143","0.8759090900421143","0.649545431137085","0.649545431137085","0.649545431137085"
