"Name","ID","train_sets","ANLI_test_acc_epoch","MNLI_test_acc_epoch","SNLI_test_acc_epoch","WANLI_test_acc_epoch","val_acc_epoch"
"avid-cherry-1589","14gsjwpj","[""SNLI_0.0"",""ANLI_0.25"",""WANLI_0.75""]","0.3736363649368286","0.7679445147514343","0.6731473803520203","0.6907051205635071","0.5669696927070618"
"bumbling-snow-1629","16jfm328","[""SNLI_0.0"",""ANLI_0.25"",""WANLI_0.75""]","0.3572727143764496","0.7567291855812073","0.6473941206932068","0.6750801205635071","0.5400000214576721"
"divine-shape-1593","1g6r882a","[""SNLI_0.0"",""ANLI_0.25"",""WANLI_0.75""]","0.3595454692840576","0.7214518785476685","0.6227605938911438","0.6854968070983887","0.5427272915840149"
"lunar-energy-1622","2bcw0qdd","[""SNLI_0.0"",""ANLI_0.25"",""WANLI_0.75""]","0.3463636338710785","0.743678629398346","0.7455211877822876","0.6810897588729858","0.5834848284721375"
"neat-dew-1644","32apxhnc","[""SNLI_0.0"",""ANLI_0.25"",""WANLI_0.75""]","0.3577272593975067","0.7365415692329407","0.6887214779853821","0.6594551205635071","0.5509091019630432"
"hardy-durian-1592","1htylvpo","[""SNLI_0.0"",""ANLI_0.75"",""WANLI_0.25""]","0.38681817054748535","0.7318515777587891","0.7296416759490967","0.6538461446762085","0.574848473072052"
"logical-flower-1632","39mb2qot","[""SNLI_0.0"",""ANLI_0.75"",""WANLI_0.25""]","0.3731818199157715","0.7571370601654053","0.6720277070999146","0.6558493375778198","0.5545454621315002"
"charmed-vortex-1642","93irb8qw","[""SNLI_0.0"",""ANLI_0.75"",""WANLI_0.25""]","0.35681816935539246","0.7220636010169983","0.6678542494773865","0.6570512652397156","0.5303030014038086"
"fearless-night-1609","nmbwzhvk","[""SNLI_0.0"",""ANLI_0.75"",""WANLI_0.25""]","0.3813636302947998","0.7506117224693298","0.7448086142539978","0.6586538553237915","0.5483333468437195"
"crimson-star-1650","2qfrv8rl","[""SNLI_0.25"",""ANLI_0.25"",""WANLI_0.5""]","0.3431818187236786","0.7326672077178955","0.8648208379745483","0.6818910241127014","0.6315151453018188"
"lyric-elevator-1654","2ukznpdl","[""SNLI_0.25"",""ANLI_0.25"",""WANLI_0.5""]","0.3595454692840576","0.7128874659538269","0.8655334115028381","0.6762820482254028","0.6260606050491333"
"still-frog-1618","r1g1jrnx","[""SNLI_0.25"",""ANLI_0.25"",""WANLI_0.5""]","0.3672727346420288","0.745106041431427","0.8620724678039551","0.6810897588729858","0.628636360168457"
"misty-brook-1595","zvzoo4im","[""SNLI_0.25"",""ANLI_0.25"",""WANLI_0.5""]","0.36318182945251465","0.7907830476760864","0.8698086142539978","0.7007211446762085","0.6293939352035522"
"icy-morning-1600","2go70rh3","[""SNLI_0.5"",""ANLI_0.25"",""WANLI_0.25""]","0.38227272033691406","0.7544861435890198","0.8686889410018921","0.6770833134651184","0.6307575702667236"
"cosmic-plant-1657","3s70ugri","[""SNLI_0.5"",""ANLI_0.25"",""WANLI_0.25""]","0.3645454645156861","0.76998370885849","0.8697068691253662","0.6814903616905212","0.6233333349227905"
"fearless-jazz-1615","cyymcz3v","[""SNLI_0.5"",""ANLI_0.25"",""WANLI_0.25""]","0.34727272391319275","0.7292006611824036","0.8733713626861572","0.6578525900840759","0.617878794670105"
"super-pyramid-1633","l80yx0ax","[""SNLI_0.5"",""ANLI_0.25"",""WANLI_0.25""]","0.33318182826042175","0.7247145175933838","0.8714373111724854","0.6522436141967773","0.6174242496490479"
"efficient-yogurt-1604","285l7w9l","[""SNLI_0.75"",""ANLI_0.0"",""WANLI_0.25""]","0.3227272629737854","0.6926998496055603","0.8782573342323303","0.6762820482254028","0.6239393949508667"
"prime-moon-1647","38j12zid","[""SNLI_0.75"",""ANLI_0.0"",""WANLI_0.25""]","0.3259090781211853","0.6747552752494812","0.8716408610343933","0.6462339758872986","0.6051515340805054"
"rural-shape-1616","769rov5v","[""SNLI_0.75"",""ANLI_0.0"",""WANLI_0.25""]","0.32818183302879333","0.7310358881950378","0.8783591389656067","0.651442289352417","0.6171212196350098"
"silver-fog-1607","bzc8tvuy","[""SNLI_0.75"",""ANLI_0.0"",""WANLI_0.25""]","0.32227271795272827","0.6716966032981873","0.8728623986244202","0.6522436141967773","0.6080303192138672"
"giddy-universe-1637","cocb8lz7","[""SNLI_0.75"",""ANLI_0.0"",""WANLI_0.25""]","0.30181819200515747","0.715334415435791","0.8811075091362","0.6678686141967773","0.621363639831543"
"laced-elevator-1598","1lxzh6tn","[""SNLI_1.0"",""ANLI_0.0"",""WANLI_0.0""]","0.321363627910614","0.6947389841079712","0.8642100691795349","0.5408653616905212","0.57833331823349"
"faithful-dawn-1631","347oqdx7","[""SNLI_1.0"",""ANLI_0.0"",""WANLI_0.0""]","0.31863635778427124","0.7171696424484253","0.8763232827186584","0.5280448794364929","0.5704545378684998"
"balmy-hill-1590","ddigcch1","[""SNLI_1.0"",""ANLI_0.0"",""WANLI_0.0""]","0.307272732257843","0.7077895402908325","0.8694014549255371","0.5633012652397156","0.5653030276298523"
"vague-breeze-2342","1cbx0n7u","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3322727382183075","0.31270357966423035","0.3276669383049011","0.4744409024715424","0.3849999904632568"
"worldly-dawn-2351","1fidfupw","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.35681816935539246","0.7785016298294067","0.8237988352775574","0.6557508111000061","0.6162121295928955"
"rare-galaxy-2346","1qtvzwpu","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.33818182349205017","0.7473534345626831","0.8431392312049866","0.6605431437492371","0.6159090995788574"
"crimson-dawn-2352","21vq1u34","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3277272582054138","0.6887214779853821","0.822272002696991","0.6090255379676819","0.5824242234230042"
"atomic-breeze-2348","28w7k5vz","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.33318182826042175","0.7432817816734314","0.8384568691253662","0.655351459980011","0.5950000286102295"
"copper-durian-2344","2b9eh1to","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3513636291027069","0.6390472054481506","0.7886807918548584","0.6142172813415527","0.5880302786827087"
"feasible-darkness-2335","2u5v8b7g","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.33136364817619324","0.6708061695098877","0.8358102440834045","0.6333865523338318","0.6009091138839722"
"snowy-microwave-2349","2xzntpvk","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.3590908944606781","0.7361563444137573","0.8592222929000854","0.6725239753723145","0.6196969747543335"
"dazzling-energy-2353","32n6nq9r","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.334090918302536","0.3236970603466034","0.40645357966423035","0.4832268357276917","0.4012121260166168"
"helpful-dragon-2345","39qdsl17","[""SNLI_0.33333"",""ANLI_0.33333"",""WANLI_0.33333""]","0.34863635897636414","0.725570023059845","0.7931596040725708","0.6461661458015442","0.5931817889213562"
