"labelled_examples","acquisition_fn: random - _step","acquisition_fn: random - _step__MIN","acquisition_fn: random - _step__MAX","acquisition_fn: random - active_ANLI_val_acc_epoch","acquisition_fn: random - active_ANLI_val_acc_epoch__MIN","acquisition_fn: random - active_ANLI_val_acc_epoch__MAX","acquisition_fn: random - active_SNLI_val_acc_epoch","acquisition_fn: random - active_SNLI_val_acc_epoch__MIN","acquisition_fn: random - active_SNLI_val_acc_epoch__MAX","acquisition_fn: random - active_WANLI_val_acc_epoch","acquisition_fn: random - active_WANLI_val_acc_epoch__MIN","acquisition_fn: random - active_WANLI_val_acc_epoch__MAX","acquisition_fn: dal - _step","acquisition_fn: dal - _step__MIN","acquisition_fn: dal - _step__MAX","acquisition_fn: dal - active_ANLI_val_acc_epoch","acquisition_fn: dal - active_ANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_ANLI_val_acc_epoch__MAX","acquisition_fn: dal - active_SNLI_val_acc_epoch","acquisition_fn: dal - active_SNLI_val_acc_epoch__MIN","acquisition_fn: dal - active_SNLI_val_acc_epoch__MAX","acquisition_fn: dal - active_WANLI_val_acc_epoch","acquisition_fn: dal - active_WANLI_val_acc_epoch__MIN","acquisition_fn: dal - active_WANLI_val_acc_epoch__MAX","acquisition_fn: bald - _step","acquisition_fn: bald - _step__MIN","acquisition_fn: bald - _step__MAX","acquisition_fn: bald - active_ANLI_val_acc_epoch","acquisition_fn: bald - active_ANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_ANLI_val_acc_epoch__MAX","acquisition_fn: bald - active_SNLI_val_acc_epoch","acquisition_fn: bald - active_SNLI_val_acc_epoch__MIN","acquisition_fn: bald - active_SNLI_val_acc_epoch__MAX","acquisition_fn: bald - active_WANLI_val_acc_epoch","acquisition_fn: bald - active_WANLI_val_acc_epoch__MIN","acquisition_fn: bald - active_WANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - _step","acquisition_fn: mc-max-entropy - _step__MIN","acquisition_fn: mc-max-entropy - _step__MAX","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_ANLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_SNLI_val_acc_epoch__MAX","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MIN","acquisition_fn: mc-max-entropy - active_WANLI_val_acc_epoch__MAX"
"500","33918","33640","34196","0.3259090781211853","0.3259090781211853","0.3259090781211853","0.6413636207580566","0.6413636207580566","0.6413636207580566","0.5236363410949707","0.5236363410949707","0.5236363410949707","33918","33640","34196","0.3259090781211853","0.3259090781211853","0.3259090781211853","0.6413636207580566","0.6413636207580566","0.6413636207580566","0.5236363410949707","0.5236363410949707","0.5236363410949707","33918","33640","34196","0.3259090781211853","0.3259090781211853","0.3259090781211853","0.6413636207580566","0.6413636207580566","0.6413636207580566","0.5236363410949707","0.5236363410949707","0.5236363410949707","33918","33640","34196","0.3259090781211853","0.3259090781211853","0.3259090781211853","0.6413636207580566","0.6413636207580566","0.6413636207580566","0.5236363410949707","0.5236363410949707","0.5236363410949707"
"1000","59793","59515","60071","0.3513636291027069","0.3513636291027069","0.3513636291027069","0.8149999976158142","0.8149999976158142","0.8149999976158142","0.6449999809265137","0.6449999809265137","0.6449999809265137","72099","71821","72377","0.3368181884288788","0.3368181884288788","0.3368181884288788","0.7890909314155579","0.7890909314155579","0.7890909314155579","0.5986363887786865","0.5986363887786865","0.5986363887786865","63729","63451","64007","0.3259090781211853","0.3259090781211853","0.3259090781211853","0.8336363434791565","0.8336363434791565","0.8336363434791565","0.6572727560997009","0.6572727560997009","0.6572727560997009","56841","56563","57119","0.3463636338710785","0.3463636338710785","0.3463636338710785","0.7813636660575867","0.7813636660575867","0.7813636660575867","0.6059091091156006","0.6059091091156006","0.6059091091156006"
"1500","89620","89342","89898","0.34545454382896423","0.34545454382896423","0.34545454382896423","0.8559091091156006","0.8559091091156006","0.8559091091156006","0.6695454716682434","0.6695454716682434","0.6695454716682434","118000","117722","118278","0.3509090840816498","0.3509090840816498","0.3509090840816498","0.7663636207580566","0.7663636207580566","0.7663636207580566","0.6218181848526001","0.6218181848526001","0.6218181848526001","86122","85844","86400","0.34863635897636414","0.34863635897636414","0.34863635897636414","0.8345454335212708","0.8345454335212708","0.8345454335212708","0.6518181562423706","0.6518181562423706","0.6518181562423706","79234","78956","79512","0.33772727847099304","0.33772727847099304","0.33772727847099304","0.8581818342208862","0.8581818342208862","0.8581818342208862","0.6527272462844849","0.6527272462844849","0.6527272462844849"
"2000","147867","147589","148145","0.35863634943962097","0.35863634943962097","0.35863634943962097","0.8477272987365723","0.8477272987365723","0.8477272987365723","0.6672727465629578","0.6672727465629578","0.6672727465629578","163827","163549","164105","0.3813636302947998","0.3813636302947998","0.3813636302947998","0.8127272725105286","0.8127272725105286","0.8127272725105286","0.6372727155685425","0.6372727155685425","0.6372727155685425","134109","133831","134387","0.3604545593261719","0.3604545593261719","0.3604545593261719","0.8631818294525146","0.8631818294525146","0.8631818294525146","0.6618182063102722","0.6618182063102722","0.6618182063102722","109881","109603","110159","0.38863635063171387","0.38863635063171387","0.38863635063171387","0.8540909290313721","0.8540909290313721","0.8540909290313721","0.6581818461418152","0.6581818461418152","0.6581818461418152"
"2500","169549","169271","169827","0.3559090793132782","0.3559090793132782","0.3559090793132782","0.8381817936897278","0.8381817936897278","0.8381817936897278","0.6631818413734436","0.6631818413734436","0.6631818413734436","207869","207591","208147","0.3659090995788574","0.3659090995788574","0.3659090995788574","0.8522727489471436","0.8522727489471436","0.8522727489471436","0.6745454668998718","0.6745454668998718","0.6745454668998718","177010","176732","177288","0.36500000953674316","0.36500000953674316","0.36500000953674316","0.850454568862915","0.850454568862915","0.850454568862915","0.6445454359054565","0.6445454359054565","0.6445454359054565","137698","137420","137976","0.37590909004211426","0.37590909004211426","0.37590909004211426","0.8399999737739563","0.8399999737739563","0.8399999737739563","0.6581818461418152","0.6581818461418152","0.6581818461418152"
"3000","194388","194110","194666","0.37590909004211426","0.37590909004211426","0.37590909004211426","0.839090883731842","0.839090883731842","0.839090883731842","0.6668182015419006","0.6668182015419006","0.6668182015419006","270552","270274","270830","0.3954545557498932","0.3954545557498932","0.3954545557498932","0.8363636136054993","0.8363636136054993","0.8363636136054993","0.6813636422157288","0.6813636422157288","0.6813636422157288","224271","223993","224549","0.3531818091869354","0.3531818091869354","0.3531818091869354","0.8586363792419434","0.8586363792419434","0.8586363792419434","0.6522727012634277","0.6522727012634277","0.6522727012634277","196549","196271","196827","0.38227272033691406","0.38227272033691406","0.38227272033691406","0.8518182039260864","0.8518182039260864","0.8518182039260864","0.6759091019630432","0.6759091019630432","0.6759091019630432"
"3500","224740","224462","225018","0.3877272605895996","0.3877272605895996","0.3877272605895996","0.860909104347229","0.860909104347229","0.860909104347229","0.6813636422157288","0.6813636422157288","0.6813636422157288","327835","327557","328113","0.3799999952316284","0.3799999952316284","0.3799999952316284","0.8686363697052002","0.8686363697052002","0.8686363697052002","0.6777272820472717","0.6777272820472717","0.6777272820472717","327169","326891","327447","0.3672727346420288","0.3672727346420288","0.3672727346420288","0.8677272796630859","0.8677272796630859","0.8677272796630859","0.6640909314155579","0.6640909314155579","0.6640909314155579","362525","362247","362803","0.38181817531585693","0.38181817531585693","0.38181817531585693","0.8472727537155151","0.8472727537155151","0.8472727537155151","0.6700000166893005","0.6700000166893005","0.6700000166893005"
"4000","258413","258135","258691","0.38863635063171387","0.38863635063171387","0.38863635063171387","0.8818181753158569","0.8818181753158569","0.8818181753158569","0.678636372089386","0.678636372089386","0.678636372089386","408839","408561","409117","0.3863636255264282","0.3863636255264282","0.3863636255264282","0.8463636636734009","0.8463636636734009","0.8463636636734009","0.6854545474052429","0.6854545474052429","0.6854545474052429","376888","376610","377166","0.3809090852737427","0.3809090852737427","0.3809090852737427","0.8613636493682861","0.8613636493682861","0.8613636493682861","0.6909090876579285","0.6909090876579285","0.6909090876579285","527997","527719","528275","0.35818180441856384","0.35818180441856384","0.35818180441856384","0.8818181753158569","0.8818181753158569","0.8818181753158569","0.6754545569419861","0.6754545569419861","0.6754545569419861"
